courteous	girl,3
unpleasant	smell,11
honest	did'nt,5
nice	staff,8
horrible	business,3
wrong	i,6
modern	aspect,3
comfortable	bed,46
annoying	time,3
good	sight,5
noisy	fridge,3
fresh	sheets,158
dead	pigeon,5
bad	things,5
powerful	shower,17
wrong	date,3
awesome	hop,5
nice	time,39
strict	value,6
decent	basics,3
valuable	stuff,5
decent	range,3
dirty	lift,3
thank	god,18
shabby	room,11
bad	manners,10
good	staff,54
fun	ny,5
nice	pub,3
bad	places,5
filthy	stain,3
good	run,5
noisy	couple,3
funny	smell,5
slow	internet,6
nice	suprise,3
musty	sheets,5
steady	stream,13
good	temp,3
correct	direction,5
complimentary	smoke,3
nice	manager,3
cheap	internet,5
sketchy	characters,5
interesting	room,8
worst	hotels,34
uncomfortable	staying,3
great	online,3
great	beds,5
dirty	elevator,3
convenient	location,9
broken	tv,10
smelt	awful,3
lovely	lady,3
better	insight,5
dismal	hallway,5
disgraceful	staff,5
nice	whole,5
worst	travelodge,3
gorgeous	child,3
bad	day,3
bad	reports,5
cold	voice,5
disorganized	mess,5
great	day,3
nasty	reception,5
good	position,3
enough	clothes,3
excellent	travelodge,3
deplorable	conditions,5
strong	shove,3
good	amount,3
smart	phones,3
worst	customer,3
best	advice,5
comfy	starbucks,3
cheap	base,3
cold	unheathy,5
excellent	transport,3
gruesome	spectre,5
pretty	desolate,5
dark	laberynth,3
crazy	friends,5
clean	accomodation,3
nice	memories,3
strange	mix,3
excellent	tube,3
negative	reviews,69
clean	toilet,5
bad	cause,5
great	location,387
cheap	flight,5
handy	location,3
dirty	i,10
slow	room,5
pokey	doorway,5
ample	seating,3
free	buffet,3
cheap	option,14
honest	i,8
odd	siren,6
lousy	chair,10
nice	cafes,3
good	towels,3
rough	shape,3
good	front,3
excessive	luxury,3
comfortable	chains,3
impressive	building,3
awful	attacks,5
great	hotels,10
polite	guy,5
cheap	supermarket,5
good	standard,12
crazy	time,5
cold	flesh,5
friendly	security,5
expensive	items,3
good	air,5
great	man,5
soft	apart,3
picky	people,10
worse	room,58
bad	room,41
tidy	check-in,3
great	part,8
scratchy	material,5
nice	person,3
dirty	mirrors,5
top	dollar,10
decent	state,5
disgusting	time,3
good	location,314
trick	photography,5
free	wi-fi,3
easy	trip,3
ripped	couches,5
filthy	shower,8
ample	time,3
disgusting	attitude,3
harsh	reality,3
horrible	cable,5
dirty	beds,5
top	value,3
good	close,3
pleasant	journey,3
crappy	time,3
suitable	state,3
incredible	right,3
horrible	burning,3
efficient	guy,5
free	childrens,3
good	impression,9
nice	localization,5
